FilmID,PersonID
2767052,9780439023480
3,9780439554930
41865,9780316015840
11870085,9780525478810
13335037,9780062024040
6148028,9780439023500
5,9780439655480
7260188,9780439023510
2,9780439358070
15881,9780439064870
6,9780439139600
136251,9780545010220
1,9780439785970
100915,9780060764890
28187,9780786838650
19063,9780375831000
49041,9780316160190
256683,9781416914280
428263,9780316160210
113436,9780375826700
119322,9780679879240
22628,9780671027350
11735983,9780007442910
375802,9780812550700
1656001,9780316068050
99561,9780142402510
38709,9780439244190
6442769,9780142414930
231804,9780140385720
6186357,9780385737940
18710190,9780007524270
18131,9780440498060
452306,9780385729340
8127,9780451528830
3777732,9781416914300
9460487,9781594744760
1217100,9781595141710
4374400,9780525421030
28186,9780786856860
1582996,802734375
2120932,9781423101470
15745753,9781250012580
7735333,9780525423640
4502507,9780739380340
6304335,9780316042670
7171637,9781416975860
24770,9780689865380
6339664,9781416989420
10507293,9780062059930
561456,9780141382890
11127,9780066238500
3609760,9780316043140
249747,9780786817870
6487308,9780385738930
439288,9780141310890
47281,9780440227530
2839,9780439366780
30183,9780312360270
11387515,9780375869020
11235712,9780312641890
7631105,9780385738750
24337,9780590920680
49750,9780525476890
11614718,9780061726840
17061,9780061139380
140225,9780061125270
9520360,145165801X
39999,9780385751060
6752378,9781442403540
2213661,9780060530920
28194,9780439709100
8755776,9781442416860
10365,9780375806810
16068905,9781423166010
9275658,9780399256750
65605,9780060764910
7747374,9780061969550
121749,9780007202300
16143347,9780061985880
10025305,9781416975880
3236307,9780152063960
6936382,9780525423270
119324,9780679879250
22232,9780439488400
7090447,9781423113390
7864437,9780385738770
6567017,9780525421580
2282133,9781595141750
233818,9780440439880
50,9780689840920
7896527,9781599906960
2802316,9781595141970
3950967,9780747599880
3975774,9780312532760
6479259,9781595142500
5996153,9781595141990
862041,9780545044260
16248068,9780062059960
46799,9781416914630
12127750,9781423140600
7791997,9781416989430
6482837,9780061726810
51738,9780670061050
2248573,9780375826730
676924,9780312360280
16101128,9780399162410
18335634,9781406321340
8492825,9780525422940
18122,9780440238160
307791,9780375822740
2866718,1481422340
38980,9780613371650
18635016,9780062059990
7938275,9780545265360
4268157,9780802798240
24768,9780689865400
9593911,9780061978070
8490112,9780316134030
17878931,9781409151170
51737,9780142406250
84119,9780439861370
6527740,9781595143070
162085,9780060887310
378,9780394820380
248704,9780786851970
13152,9780446617800
84981,9780374480100
10637766,9781442426640
3682,9780689875340
693208,9780316013680
13642,9780553383040
5148,9780743253970
7740152,9780385739150
65641,9780064405040
8755785,9781481426300
22205,9780142501560
37732,9780689841580
10429045,9780062085480
11260526,9780316134120
84369,9780007202320
1326258,9780312360310
544891,9780060874160
7664041,9780375856110
15812814,9780142421710
852470,9781423100030
5664985,9780670011940
12127810,9781423146730
2536134,9780061448770
53496,9780060739490
764347,9781416912040
11742691,9780545422900
7937462,9780316125580
114345,9780060529960
518848,9780064471830
6644117,9780373210080
8709527,9781595143170
13206828,9780312642980
24765,1416927247
4134071,9780312379830
3980,9780744583270
6917952,9781905654950
9673436,9780439813780
6262365,9781905654580
6294,9780064410340
15749186,9780395137190
6931356,9780316084240
1295102,9780670010880
4502877,9780061671360
13262783,9780307931890
402013,9780060288140
139463,9780590452040
12936,9780385732570
902,9780142401200
305234,9780061214650
2800905,9780061662690
23164983,9781594747360
9067850,9781423140570
114955,9780786851480
18460392,9780385755890
17402605,9780552562520
270730,9780689865190
17675462,9780545424930
6137154,9780803734620
18116,9780440238610
9369720,9780385739160
13089710,9780385742890
20820994,9780803734970
6654313,9780545123280
3579,76783609419
17182126,9780385743560
872333,9780786838930
8621462,9781406311520
3090465,9780739352360
12875258,9780679644190
11408650,9781453860950
10194157,9780805094600
14290364,9780399256780
9961796,9780525423290
8659601,9780061974560
44652,9781590385810
310459,9780140348930
18126198,9780062285680
2118745,9781406310250
13125947,9780525423670
227651,9781416924980
703292,9780440995780
5821978,9781416968240
12294652,9780803736990
19057,9780375836670
8652190,9780312650250
213753,9780399256450
77392,9780553213170
9593913,9780062014540
227865,9780141321320
5287473,9781423121300
7842288,9780316077060
334123,9780786818590
65119,9780439272640
114954,9781423104000
179064,9781582349910
7619057,9780099549340
7824322,9780399254120
18130,9780440487620
13615258,9780062237420
12000020,9781442408920
77390,9780553213140
816953,9780142401770
5391115,9780061662770
150037,9780060566230
60400,9780142406630
5152478,9780670011100
6468666,9781841497130
139253,9780679734770
334643,9780060278250
7488244,9780061996160
13083,9780440421700
6584188,9781416995560
111450,9780439321620
172327,9780060566210
12930,9780385732540
83369,9780316057780
10798416,9780316122380
59263,9780786836540
8235178,9781595143980
297249,9780807508530
769483,9780060577320
781110,9780689848920
47624,9780060590160
13139,9780316155600
13206900,385741774
12893742,9781423140570
16131484,9781421513430
368468,9780385323060
12700353,9781419701760
7726143,9780062003940
28195,9780439554010
37586,9780786849570
493456,9781416951180
144349,9780399244550
11594257,9781907411050
8709523,9781595143180
10757833,9780316123520
7996,9781862301380
7747064,9780373210140
12401556,9780812983610
331920,9780375825450
85990,9781599900740
18692431,9780553496640
2146957,9781590388980
187181,9780449213440
20560137,9781595148030
297792,9780064410140
13831,9780689878560
12812550,9780316133980
144350,9780399244580
10576365,9781423157370
8525590,9781442409060
262430,9780439771340
33676,9780316155600
106085,9780786838940
8685612,9780373210180
324277,9780064410120
6574102,9781423116390
59264,9780786818620
6609765,9781416971700
12716010,9780062285680
8564935,9781453688940
3213286,9780142412140
25373,9780375835320
9409458,9780545259090
13667,9781416509650
270805,9781416903570
7719245,9780061985840
784911,9781590387430
8680278,9781416995590
136782,9780142401650
8726744,9780316132910
5217282,9781606410420
13662,9780689845370
2402971,9780385733590
9378297,9780765328660
310146,9780380714760
568645,9781423100060
8492856,9780670012950
17020,9780060541440
23734628,9781250049550
13376,9780689852240
27266,9780451219950
12971616,9780061974590
5454,9780385731060
7664334,9781416990660
34494,9780060012380
7402393,9780399254830
100464,9781904442490
23174274,9780062310670
5310515,9780385737420
14061955,9780805094600
6050678,9781416971730
7243142,9781606412380
2179276,9781423108370
12680907,9780803734740
6604794,9780803734950
272895,9780965476030
17347389,9780545424940
4325,9780142401750
8428064,9781423121310
395871,9780061140980
3575676,9781416974530
10626594,9780545224900
201341,9780441005760
5047880,9780061449060
162089,9780060887340
65118,9781405206130
6134826,9780312532760
17623975,9780142422950
1661957,9781416953580
270804,9781416940910
13835,9780689878560
8835379,9780805092520
6581511,9780312590440
13837,9780689878570
150739,9780152045660
8709526,9781595143200
13324841,9780547887200
7137775,9780802720860
3432478,9780575090860
51428,9780385733410
24120519,9781594747590
31122,9780312181110
7933617,9781905654870
20821111,9780399167840
34262,9780786849080
2753843,9781423102280
9565548,9780547628350
113304,9781903434770
4588949,9780385735290
2921082,9780545060390
690926,9780316003730
6267237,9781423102270
2985500,9781416974510
5452,9780553375930
25346,9780439771280
11925514,9781405258210
270807,9781416903540
1254951,9780061345660
2241059,9781416950060
9627755,9780525425630
20698530,9781442426730
15704459,9780385743590
6693332,9780385905170
662597,9780439324600
24780,9780805080480
11966216,9781250006320
2722413,9780061284400
44184,9780064407310
1651302,9780060887380
18189606,9781442435000
127823,9780399244570
26074181,9780062392180
3099787,9781416974500
2325825,9781905294720
5056084,9780061668040
22188,9780316910330
80674,9780142408800
11563110,9780061996180
3412815,9781595547160
6408862,9781906427140
24784,9780805080490
22489107,9781250060560
6686092,9780061449090
9659607,9780373210370
5453,9780385729370
19448,9780064472780
23228,9780375832990
3393124,9780316002900
7778981,9780312656260
355917,9780060577360
10429092,9780062026480
7137327,9780312650090
6043849,9781406310270
5267365,9781423116390
89763,9780439120420
108077,9780440228000
10215349,9780373210510
7930335,9780316123530
13253276,9780062072060
1829709,9780316002870
542414,9780142405790
46777,9780689867040
1895792,9780061140980
1537534,9780060887390
19549841,9780374324920
11947829,9781250006330
3992598,9781423121660
6950688,9781423128200
9888775,9781402262270
8458018,9780385735340
16151178,9781402271880
1314332,9780385613460
104378,9780142401770
18080920,9780062285640
12432220,9780545284130
41667,9780142401120
4070493,9781599903380
7198988,9780312590970
15820748,9780062248170
16069030,9780374384680
118944,9781596431520
17378508,9780545424970
7540092,9781406310280
10128428,9780545027890
9917938,9781442429990
127459,9780385730300
3054684,9780061284400
15861491,9780061974620
13830,9780689878590
34501,9780552552650
355916,9780060577380
13836,9781416903440
18798983,9780399171610
10798418,9780316127260
20727654,9781477823840
183656,9780060575810
544257,9780451222380
187811,9780060725110
3047849,9780061566130
6431790,9780316036190
19469,9780385323280
6448470,9780061935080
395922,9780061020000
332775,9780340893610
9462795,9780062011990
7739934,9780312590990
1524173,9781741661290
6316171,9780316041450
15283043,9780062235660
18053060,9780062280670
19351043,9780802723470
8962,9780316905720
169756,9780763622600
6342491,9781423118240
1672727,9781416913180
1814843,9781741661350
13833,9781416903380
6387565,9780394895900
386286,9780064400590
